Ano;regiao;sigla_uf;codd_municipio;nome_municipio;localizacao;dependencia_administrativa;infanti_g1;infantil_g2;infantil_g3;infantil_g4;infantil_g5;fund_total_g1;fund_total_g2;fund_total_g3;fund_total_g4;fund_total_g5;ai_g1;ai_g2;ai_g3;ai_g4;ao_g5;af_g1;af_g2;af_g3;af_g4;af_g5
2017;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Municipal;86,9;0,0;0,0;4,9;8,2;62,8;0,0;23,9;1,8;11,5;79,4;0,0;3,0;1,6;16,0;41,8;0,0;50,3;2,0;5,9
2017;Norte;RO;1100023;Ariquemes;Total;Municipal;75,7;0,0;5,6;0,0;18,7;59,5;0,0;28,0;1,3;11,2;70,1;0,0;15,5;0,7;13,7;38,5;0,0;52,8;2,6;6,1
2017;Norte;RO;1100031;Cabixi;Total;Municipal;70,0;0,0;20,0;0,0;10,0;87,1;2,7;7,4;0,0;2,8;87,1;2,7;7,4;0,0;2,8;--;--;--;--;--
2017;Norte;RO;1100049;Cacoal;Total;Municipal;68,3;0,0;8,1;3,3;20,3;60,3;0,0;18,6;1,6;19,5;73,9;0,0;5,6;0,4;20,1;33,5;0,0;44,3;4,1;18,1
2017;Norte;RO;1100056;Cerejeiras;Total;Municipal;89,5;0,0;0,0;5,3;5,2;69,9;0,0;26,0;0,0;4,1;69,9;0,0;26,0;0,0;4,1;--;--;--;--;--
2017;Norte;RO;1100064;Colorado do Oeste;Total;Municipal;82,4;0,0;11,8;0,0;5,8;68,5;0,0;28,1;0,0;3,4;90,5;0,0;8,1;0,0;1,4;17,8;0,0;73,9;0,0;8,3
2017;Norte;RO;1100072;Corumbiara;Total;Municipal;77,8;0,0;0,0;11,1;11,1;56,7;2,7;24,2;0,0;16,4;67,4;3,6;11,3;0,0;17,7;26,0;0,0;61,0;0,0;13,0
2017;Norte;RO;1100080;Costa Marques;Total;Municipal;41,7;0,0;0,0;0,0;58,3;45,3;0,1;23,6;2,7;28,3;56,0;0,2;4,2;3,0;36,6;18,7;0,0;71,9;2,0;7,4
2017;Norte;RO;1100098;Espigão D'Oeste;Total;Municipal;83,8;0,0;10,8;0,0;5,4;71,1;0,0;22,1;4,6;2,2;84,4;0,0;12,0;2,4;1,2;47,2;0,0;40,3;8,6;3,9
2017;Norte;RO;1100106;Guajará-Mirim;Total;Municipal;68,3;0,0;18,3;0,0;13,4;61,8;0,7;22,8;0,0;14,7;67,9;0,7;16,9;0,0;14,5;1,0;0,0;82,3;0,0;16,7
2017;Norte;RO;1100114;Jaru;Total;Municipal;80,6;0,0;2,8;0,0;16,6;69,6;0,0;17,4;2,7;10,3;73,4;0,0;12,8;1,9;11,9;51,4;0,0;39,7;6,1;2,8
2017;Norte;RO;1100122;Ji-Paraná;Total;Municipal;71,3;0,0;23,8;1,4;3,5;81,4;0,0;10,7;1,5;6,4;90,2;0,0;0,5;1,2;8,1;45,7;0,0;51,7;2,6;0,0
2017;Norte;RO;1100130;Machadinho D'Oeste;Total;Municipal;74,6;0,0;6,0;9,0;10,4;60,7;0,0;18,0;4,7;16,6;65,7;0,0;11,0;4,3;19,0;37,2;0,0;50,8;6,5;5,5
