Ano;regiao;sigla_uf;cod_municipio;nome_municipio;localizacao;dependenci_adminitrativa;total_niv_1;total_niv_2;totall_niv_3;total_niv_4;total_niv_5;total_niv_6;ai_niv_1;ai_niv_2;ai_niv_3;ai_niv_4;ai_niv_5;ai_niv_6;af_niv_1;af_niv_2;af_niv_3;af_niv_4;af_niv_5;ai_niv_6
2017;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Municipal;59,8;4,9;5,7;23,0;4,1;2,5;85,6;2,9;2,9;7,2;0,0;1,4;23,6;6,8;10,2;45,8;8,5;5,1
2017;Norte;RO;1100023;Ariquemes;Total;Municipal;25,3;29,9;18,3;21,8;3,2;1,5;27,7;34,5;16,0;18,9;1,8;1,1;9,7;7,0;21,9;51,8;7,0;2,6
2017;Norte;RO;1100031;Cabixi;Total;Municipal;94,2;0,0;2,9;0,0;0,0;2,9;94,2;0,0;2,9;0,0;0,0;2,9;--;--;--;--;--;--
2017;Norte;RO;1100049;Cacoal;Total;Municipal;17,3;17,8;50,6;10,9;2,3;1,1;25,7;17,9;53,8;2,6;0,0;0,0;0,0;16,9;42,4;30,5;6,8;3,4
2017;Norte;RO;1100056;Cerejeiras;Total;Municipal;76,4;17,6;2,0;2,0;2,0;0,0;76,4;17,6;2,0;2,0;2,0;0,0;--;--;--;--;--;--
2017;Norte;RO;1100064;Colorado do Oeste;Total;Municipal;74,2;17,8;2,0;4,0;1,0;1,0;88,8;4,2;2,8;1,4;1,4;1,4;40,0;50,0;0,0;10,0;0,0;0,0
2017;Norte;RO;1100072;Corumbiara;Total;Municipal;74,3;23,1;0,0;2,6;0,0;0,0;82,8;13,8;0,0;3,4;0,0;0,0;50,0;50,0;0,0;0,0;0,0;0,0
2017;Norte;RO;1100080;Costa Marques;Total;Municipal;60,5;24,4;11,6;1,2;0,0;2,3;73,0;25,4;1,6;0,0;0,0;0,0;26,2;21,7;39,1;4,3;0,0;8,7
2017;Norte;RO;1100098;Espigão D'Oeste;Total;Municipal;15,7;19,3;39,8;10,8;8,4;6,0;23,1;11,5;44,2;9,6;5,8;5,8;2,7;26,3;26,3;18,4;18,4;7,9
2017;Norte;RO;1100106;Guajará-Mirim;Total;Municipal;16,4;22,7;45,5;11,8;0,9;2,7;8,1;25,3;50,5;12,1;1,0;3,0;76,9;0,0;0,0;23,1;0,0;0,0
2017;Norte;RO;1100114;Jaru;Total;Municipal;41,3;19,6;14,3;12,7;6,3;5,8;49,4;20,4;10,5;11,2;3,9;4,6;6,0;12,0;24,0;30,0;16,0;12,0
2017;Norte;RO;1100122;Ji-Paraná;Total;Municipal;27,2;46,6;13,6;6,3;3,9;2,4;29,6;51,5;9,8;5,5;1,8;1,8;16,0;24,0;28,0;16,0;10,0;6,0
