CO_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_5_LP;MEDIA_5_MT;MEDIA
11;Rondônia;1100015;Alta Floresta D'Oeste;Municipal;Total;190,43;205,77;198,1
11;Rondônia;1100023;Ariquemes;Municipal;Total;206,93;216,07;211,5
11;Rondônia;1100031;Cabixi;Municipal;Total;215,01;238,96;226,985
11;Rondônia;1100049;Cacoal;Municipal;Total;211,78;223,98;217,88
11;Rondônia;1100056;Cerejeiras;Municipal;Total;220,58;228,46;224,52
11;Rondônia;1100064;Colorado do Oeste;Municipal;Total;;;0
11;Rondônia;1100072;Corumbiara;Municipal;Total;214,78;223,09;218,935
11;Rondônia;1100080;Costa Marques;Municipal;Total;190,47;205,55;198,01
11;Rondônia;1100098;Espigão D'Oeste;Municipal;Total;201,76;214,61;208,185
11;Rondônia;1100106;Guajará-Mirim;Municipal;Total;193,09;202,74;197,915
11;Rondônia;1100114;Jaru;Municipal;Total;206,27;220,05;213,16
11;Rondônia;1100122;Ji-Paraná;Municipal;Total;234,7;251,76;243,23
11;Rondônia;1100130;Machadinho D'Oeste;Municipal;Total;196,12;202,52;199,32
11;Rondônia;1100148;Nova Brasilândia D'Oeste;Municipal;Total;214,52;233,86;224,19
11;Rondônia;1100155;Ouro Preto do Oeste;Municipal;Total;220,4;232,03;226,215
11;Rondônia;1100189;Pimenta Bueno;Municipal;Total;221,47;232,76;227,115
11;Rondônia;1100205;Porto Velho;Municipal;Total;201,08;207,63;204,355
11;Rondônia;1100254;Presidente Médici;Municipal;Total;224,16;234,58;229,37
11;Rondônia;1100262;Rio Crespo;Municipal;Total;191,56;204,45;198,005
11;Rondônia;1100288;Rolim de Moura;Municipal;Total;211,37;226,5;218,935
11;Rondônia;1100296;Santa Luzia D'Oeste;Municipal;Total;229,65;252,52;241,085
11;Rondônia;1100304;Vilhena;Municipal;Total;213,62;222,52;218,07
11;Rondônia;1100320;São Miguel do Guaporé;Municipal;Total;202;211,43;206,715
11;Rondônia;1100338;Nova Mamoré;Municipal;Total;187,4;196,36;191,88
11;Rondônia;1100346;Alvorada D'Oeste;Municipal;Total;204,4;218,25;211,325
11;Rondônia;1100379;Alto Alegre dos Parecis;Municipal;Total;211,95;224,65;218,3
11;Rondônia;1100403;Alto Paraíso;Municipal;Total;195,03;214,07;204,55
11;Rondônia;1100452;Buritis;Municipal;Total;205,34;215,38;210,36
11;Rondônia;1100502;Novo Horizonte do Oeste;Municipal;Total;214,39;216,46;215,425
11;Rondônia;1100601;Cacaulândia;Municipal;Total;202,1;219,53;210,815
11;Rondônia;1100700;Campo Novo de Rondônia;Municipal;Total;198,2;215,21;206,705
11;Rondônia;1100809;Candeias do Jamari;Municipal;Total;184,21;194,31;189,26
11;Rondônia;1100908;Castanheiras;Municipal;Total;198,09;203,25;200,67
11;Rondônia;1100924;Chupinguaia;Municipal;Total;191,77;204,22;197,995
11;Rondônia;1100940;Cujubim;Municipal;Total;186,85;199,04;192,945
11;Rondônia;1101005;Governador Jorge Teixeira;Municipal;Total;198,13;216,72;207,425
11;Rondônia;1101104;Itapuã do Oeste;Municipal;Total;193,74;201,2;197,47
11;Rondônia;1101203;Ministro Andreazza;Municipal;Total;216,18;239,98;228,08
11;Rondônia;1101302;Mirante da Serra;Municipal;Total;207,2;220,66;213,93
11;Rondônia;1101401;Monte Negro;Municipal;Total;178,6;192,11;185,355
11;Rondônia;1101435;Nova União;Municipal;Total;196,5;209,39;202,945
11;Rondônia;1101450;Parecis;Municipal;Total;204,09;213,46;208,775
11;Rondônia;1101468;Pimenteiras do Oeste;Municipal;Total;224,46;233,88;229,17
11;Rondônia;1101476;Primavera de Rondônia;Municipal;Total;191,17;207,79;199,48
11;Rondônia;1101484;São Felipe D'Oeste;Municipal;Total;215,67;216,44;216,055
11;Rondônia;1101492;São Francisco do Guaporé;Municipal;Total;201,76;217,38;209,57
11;Rondônia;1101500;Seringueiras;Municipal;Total;199,81;214,78;207,295
11;Rondônia;1101559;Teixeirópolis;Municipal;Total;219,95;232,37;226,16
11;Rondônia;1101609;Theobroma;Municipal;Total;197,31;210,62;203,965
11;Rondônia;1101708;Urupá;Municipal;Total;211,32;232,38;221,85
11;Rondônia;1101757;Vale do Anari;Municipal;Total;209,48;223,33;216,405
11;Rondônia;1101807;Vale do Paraíso;Municipal;Total;192,5;212,36;202,43
12;Acre;1200013;Acrelândia;Municipal;Total;207,46;220,14;213,8
12;Acre;1200054;Assis Brasil;Municipal;Total;204,08;204,88;204,48
