Ano;regiao;sigla_uf;co_municipio;nome_municipio;ocallizacao;dependedncia_administrativ;Total;anos_iniciais;anos_finais;1_ano;2_ano;3_ano;4_ano;5_ano;6_ano;7_ano;8_ano;9_ano
2017;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Municipal;14,0;6,3;33,9;0,3;1,9;2,6;13,2;26,5;35,4;30,1;34,8;35,5
2017;Norte;RO;1100023;Ariquemes;Total;Municipal;17,6;12,4;37,8;1,6;2,1;13,5;17,0;25,0;36,9;41,0;36,4;33,9
2017;Norte;RO;1100031;Cabixi;Total;Municipal;8,1;8,1;--;0,0;0,0;4,6;13,4;16,8;--;--;--;--
2017;Norte;RO;1100049;Cacoal;Total;Municipal;8,1;4,1;20,6;0,4;0,4;2,6;6,9;9,9;16,2;17,9;27,8;20,6
2017;Norte;RO;1100056;Cerejeiras;Total;Municipal;7,9;7,9;--;0,5;0,0;8,1;10,3;20,0;--;--;--;--
2017;Norte;RO;1100064;Colorado do Oeste;Total;Municipal;8,4;5,8;22,8;0,0;0,5;9,5;6,0;11,5;19,7;28,8;18,8;25,0
2017;Norte;RO;1100072;Corumbiara;Total;Municipal;18,2;11,4;49,3;2,1;0,9;11,6;15,2;26,0;57,1;35,3;57,6;40,0
2017;Norte;RO;1100080;Costa Marques;Total;Municipal;23,3;15,1;53,3;3,4;2,2;15,2;21,7;30,4;51,4;53,3;59,1;45,9
2017;Norte;RO;1100098;Espigão D'Oeste;Total;Municipal;15,1;8,8;29,2;1,6;0,4;7,8;10,6;22,9;27,8;32,3;31,4;23,8
2017;Norte;RO;1100106;Guajará-Mirim;Total;Municipal;13,3;13,3;--;2,1;3,6;15,6;20,2;28,2;--;--;--;--
2017;Norte;RO;1100114;Jaru;Total;Municipal;13,5;10,5;36,4;0,7;1,9;11,5;13,8;31,3;43,9;39,8;32,2;28,9
2017;Norte;RO;1100122;Ji-Paraná;Total;Municipal;7,3;4,9;23,9;0,3;1,4;5,7;7,7;9,8;24,4;23,1;19,8;27,6
2017;Norte;RO;1100130;Machadinho D'Oeste;Total;Municipal;23,1;19,4;45,1;2,8;4,7;21,7;27,6;35,8;46,4;48,8;40,0;42,5
2017;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Municipal;17,4;7,5;34,8;1,7;1,4;5,4;10,8;22,9;37,1;26,8;40,3;32,8
2017;Norte;RO;1100155;Ouro Preto do Oeste;Total;Municipal;14,2;12,7;40,3;1,2;2,6;15,9;18,3;20,7;40,0;41,9;42,9;35,9
2017;Norte;RO;1100189;Pimenta Bueno;Total;Municipal;12,1;9,2;39,6;0,9;1,5;9,9;14,3;16,7;49,4;41,2;37,3;25,5
2017;Norte;RO;1100205;Porto Velho;Total;Municipal;17,6;15,8;46,8;1,4;4,5;18,8;26,1;29,6;43,8;53,1;45,4;47,1
2017;Norte;RO;1100254;Presidente Médici;Total;Municipal;13,3;11,7;26,7;1,0;0,0;14,3;18,9;21,7;30,6;27,6;26,2;20,8
2017;Norte;RO;1100262;Rio Crespo;Total;Municipal;20,1;16,8;42,6;4,5;4,2;18,5;29,8;28,6;45,2;39,1;--;--
2017;Norte;RO;1100288;Rolim de Moura;Total;Municipal;9,7;5,4;43,7;0,3;0,9;3,0;9,0;18,9;44,5;42,6;45,2;42,0
2017;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Municipal;9,5;8,6;29,0;0,0;0,0;10,3;13,9;13,8;0,0;55,6;28,6;15,4
2017;Norte;RO;1100304;Vilhena;Total;Municipal;9,1;6,8;25,4;1,0;1,9;4,5;8,7;17,1;23,2;32,4;22,9;20,0
2017;Norte;RO;1100320;São Miguel do Guaporé;Total;Municipal;11,3;5,3;28,0;0,3;0,3;1,8;7,6;14,3;24,5;28,7;29,7;30,1
2017;Norte;RO;1100338;Nova Mamoré;Total;Municipal;20,3;15,1;42,3;2,1;2,5;19,0;21,9;28,0;39,2;43,2;47,0;43,3
2017;Norte;RO;1100346;Alvorada D'Oeste;Total;Municipal;16,7;7,4;35,9;0,6;1,2;6,8;11,4;14,8;26,9;42,0;38,3;39,8
2017;Norte;RO;1100379;Alto Alegre dos Parecis;Total;Municipal;22,3;10,5;40,0;1,6;1,0;9,3;18,2;19,3;32,2;46,0;39,3;44,9
2017;Norte;RO;1100403;Alto Paraíso;Total;Municipal;18,6;11,6;35,0;2,6;3,9;7,7;20,6;19,9;33,3;38,5;36,3;30,8
2017;Norte;RO;1100452;Buritis;Total;Municipal;14,6;8,9;44,2;1,1;2,0;5,9;13,2;18,5;39,8;47,0;51,9;35,2
2017;Norte;RO;1100502;Novo Horizonte do Oeste;Total;Municipal;15,6;9,4;41,4;0,0;1,2;14,7;18,1;20,0;40,4;46,9;40,6;37,5
2017;Norte;RO;1100601;Cacaulândia;Total;Municipal;15,4;12,0;32,7;2,4;1,4;3,5;16,2;30,8;38,7;30,8;15,4;53,3
