Ano	Região	UF	Código do Município	Município	Localização	Dependência Administrativa	Total	Anos Iniciais 	Anos Finais	1º Ano 	2º Ano	3º Ano	4º Ano	5º Ano	6º Ano	7º Ano	8º Ano	9º Ano
2017	Norte	RO	1100015	Alta Floresta D'Oeste	Total	Municipal	1,1	0,8	1,7	1,1	1,1	0,4	0,4	0,6	1,2	1,4	2,8	1,8
2017	Norte	RO	1100023	Ariquemes	Total	Municipal	2,9	2,6	4,0	3,7	2,6	2,6	1,6	2,7	4,8	3,9	3,1	2,6
2017	Norte	RO	1100031	Cabixi	Total	Municipal	0,7	0,7	--	0,0	2,2	0,0	0,6	0,9	--	--	--	--
2017	Norte	RO	1100049	Cacoal	Total	Municipal	1,8	1,5	2,8	1,1	1,5	1,7	1,5	1,8	1,6	1,5	4,6	3,6
2017	Norte	RO	1100056	Cerejeiras	Total	Municipal	1,3	1,3	--	2,0	0,0	2,3	0,9	1,1	--	--	--	--
2017	Norte	RO	1100064	Colorado do Oeste	Total	Municipal	1,0	1,1	0,8	2,2	0,9	0,7	1,0	0,8	0,0	0,0	0,0	3,8
2017	Norte	RO	1100072	Corumbiara	Total	Municipal	1,2	1,0	2,2	1,0	2,5	0,0	1,2	0,0	4,0	0,0	2,9	0,0
2017	Norte	RO	1100080	Costa Marques	Total	Municipal	2,4	1,7	4,8	0,9	1,3	0,8	3,2	2,2	2,9	8,3	3,3	5,1
2017	Norte	RO	1100098	Espigão D'Oeste	Total	Municipal	1,2	0,9	1,9	0,9	0,9	0,6	0,5	1,8	1,0	2,1	2,5	2,4
2017	Norte	RO	1100106	Guajará-Mirim	Total	Municipal	1,8	1,8	--	2,1	1,9	2,4	1,2	0,8	--	--	--	--
2017	Norte	RO	1100114	Jaru	Total	Municipal	2,2	2,0	4,1	2,0	1,7	2,6	2,1	1,4	6,9	1,1	4,5	4,2
2017	Norte	RO	1100122	Ji-Paraná	Total	Municipal	1,6	1,5	2,8	1,6	1,7	1,4	1,2	1,4	3,0	3,1	1,7	3,0
2017	Norte	RO	1100130	Machadinho D'Oeste	Total	Municipal	2,8	2,7	3,0	3,0	3,3	4,0	1,7	1,5	2,0	1,6	2,9	8,3
2017	Norte	RO	1100148	Nova Brasilândia D'Oeste	Total	Municipal	2,1	1,4	3,2	3,0	2,0	0,0	0,9	1,3	3,0	2,9	3,4	3,4
2017	Norte	RO	1100155	Ouro Preto do Oeste	Total	Municipal	2,3	2,3	2,6	3,0	2,1	1,9	2,4	2,1	5,7	4,3	0,0	0,0
2017	Norte	RO	1100189	Pimenta Bueno	Total	Municipal	2,2	1,9	5,0	1,4	1,5	3,1	2,0	1,4	4,8	5,3	3,1	7,1
2017	Norte	RO	1100205	Porto Velho	Total	Municipal	2,5	2,4	3,5	2,7	2,3	2,4	2,7	1,9	4,2	3,4	2,8	3,2
2017	Norte	RO	1100254	Presidente Médici	Total	Municipal	1,6	1,6	1,5	1,4	2,3	1,8	1,1	1,9	0,0	0,0	4,9	0,0
2017	Norte	RO	1100262	Rio Crespo	Total	Municipal	3,0	2,8	4,1	2,8	5,8	2,1	2,4	0,0	3,3	5,3	--	--
2017	Norte	RO	1100288	Rolim de Moura	Total	Municipal	1,7	1,6	2,3	2,1	2,0	1,3	1,0	1,6	2,2	3,0	2,4	1,5
2017	Norte	RO	1100296	Santa Luzia D'Oeste	Total	Municipal	0,9	0,9	0,0	0,0	1,7	1,3	1,1	0,0	0,0	0,0	0,0	0,0
2017	Norte	RO	1100304	Vilhena	Total	Municipal	1,7	1,5	3,4	1,7	1,3	1,5	1,3	1,4	2,5	3,9	3,9	3,0
2017	Norte	RO	1100320	São Miguel do Guaporé	Total	Municipal	1,7	2,0	0,9	1,3	2,1	0,6	2,6	2,9	0,0	1,7	0,6	1,3
2017	Norte	RO	1100338	Nova Mamoré	Total	Municipal	2,7	2,8	2,4	3,4	3,1	3,7	1,6	2,4	2,3	0,7	2,6	5,5
2017	Norte	RO	1100346	Alvorada D'Oeste	Total	Municipal	1,7	1,9	1,3	3,4	1,2	2,0	1,6	1,1	1,3	0,0	1,2	2,8
2017	Norte	RO	1100379	Alto Alegre dos Parecis	Total	Municipal	1,6	1,5	1,8	1,6	0,5	1,2	1,6	2,4	2,4	1,9	1,6	0,9
