Ano;regiao;UF;cod_municipio;nome_municipio;localizacao;dependedncia_administrativa;Total;anos_iniciais;anos_finais;1_ano;2_ano;3_ano;4_ano;5_ano;6_ano;7_ano;8_ano;9_ano
2017;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Municipal;92,5;96,6;81,9;99,2;98,6;100,0;89,1;91,5;79,2;78,1;82,1;90,8
2017;Norte;RO;1100023;Ariquemes;Total;Municipal;90,1;90,8;87,5;98,1;98,9;83,4;88,6;88,3;84,5;88,1;90,1;92,3
2017;Norte;RO;1100031;Cabixi;Total;Municipal;94,0;94,0;--;100,0;100,0;89,1;90,4;95,3;--;--;--;--
2017;Norte;RO;1100049;Cacoal;Total;Municipal;96,3;97,3;93,2;99,6;100,0;99,7;91,4;97,9;94,0;92,3;89,7;97,5
2017;Norte;RO;1100056;Cerejeiras;Total;Municipal;94,8;94,8;--;100,0;100,0;85,6;95,6;94,0;--;--;--;--
2017;Norte;RO;1100064;Colorado do Oeste;Total;Municipal;94,0;94,6;90,6;100,0;100,0;88,4;91,2;97,5;84,5;88,3;96,8;94,0
2017;Norte;RO;1100072;Corumbiara;Total;Municipal;88,4;90,9;77,2;94,9;96,6;80,1;89,4;98,0;75,0;76,5;73,5;90,0
2017;Norte;RO;1100080;Costa Marques;Total;Municipal;82,9;84,4;77,0;97,8;97,8;72,8;81,5;79,9;75,8;67,7;83,1;91,9
2017;Norte;RO;1100098;Espigão D'Oeste;Total;Municipal;93,6;95,9;88,4;100,0;99,6;89,2;95,6;96,3;85,4;89,6;83,1;98,3
2017;Norte;RO;1100106;Guajará-Mirim;Total;Municipal;90,7;90,7;--;97,4;98,0;77,1;90,6;94,9;--;--;--;--
2017;Norte;RO;1100114;Jaru;Total;Municipal;94,8;94,8;94,2;99,6;99,7;85,0;93,8;97,8;91,4;92,6;95,2;97,8
2017;Norte;RO;1100122;Ji-Paraná;Total;Municipal;97,2;97,3;96,4;99,5;99,9;95,4;94,4;98,6;95,6;95,5;96,5;98,4
2017;Norte;RO;1100130;Machadinho D'Oeste;Total;Municipal;86,2;87,2;80,4;98,0;98,3;76,3;82,4;87,7;70,0;84,1;92,1;92,2
2017;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Municipal;99,1;99,5;98,5;100,0;100,0;99,2;100,0;98,1;98,2;98,5;98,8;98,2
2017;Norte;RO;1100155;Ouro Preto do Oeste;Total;Municipal;88,8;89,8;73,5;98,8;99,0;76,7;89,5;92,2;66,0;72,7;72,9;83,7
2017;Norte;RO;1100189;Pimenta Bueno;Total;Municipal;93,9;95,0;83,0;99,3;98,2;88,4;94,2;97,7;68,8;85,9;90,3;92,3
2017;Norte;RO;1100205;Porto Velho;Total;Municipal;91,0;91,4;84,7;97,2;97,0;82,6;87,7;93,9;80,2;80,7;90,4;91,5
2017;Norte;RO;1100254;Presidente Médici;Total;Municipal;92,7;92,2;96,9;99,5;100,0;82,3;90,0;95,4;100,0;90,6;97,4;100,0
2017;Norte;RO;1100262;Rio Crespo;Total;Municipal;86,4;87,1;80,9;100,0;100,0;62,8;90,1;96,9;75,9;88,9;--;--
2017;Norte;RO;1100288;Rolim de Moura;Total;Municipal;92,6;94,0;81,2;99,7;100,0;99,6;85,3;84,9;60,4;85,4;96,3;98,5
2017;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Municipal;97,1;97,2;93,3;100,0;100,0;90,6;97,7;100,0;100,0;75,0;100,0;100,0
2017;Norte;RO;1100304;Vilhena;Total;Municipal;92,1;92,6;88,2;98,6;99,4;87,7;87,4;93,7;85,3;86,0;90,7;94,5
2017;Norte;RO;1100320;São Miguel do Guaporé;Total;Municipal;98,5;98,4;98,7;99,7;99,7;98,8;97,1;97,6;98,0;98,2;99,4;99,4
2017;Norte;RO;1100338;Nova Mamoré;Total;Municipal;85,2;88,3;72,0;97,2;98,3;71,1;86,8;92,7;68,4;73,8;71,4;80,2
2017;Norte;RO;1100346;Alvorada D'Oeste;Total;Municipal;92,9;95,4;87,8;99,4;98,7;92,9;91,7;96,6;82,2;88,5;89,0;94,2
2017;Norte;RO;1100379;Alto Alegre dos Parecis;Total;Municipal;86,8;91,9;79,1;98,3;97,9;83,1;91,7;91,2;76,3;68,3;88,2;89,5
2017;Norte;RO;1100403;Alto Paraíso;Total;Municipal;87,8;89,7;83,4;97,6;96,6;82,2;82,7;93,9;78,9;76,1;90,9;97,1
2017;Norte;RO;1100452;Buritis;Total;Municipal;92,0;93,9;82,4;97,1;98,7;98,9;86,3;93,4;76,9;75,0;91,1;92,8
2017;Norte;RO;1100502;Novo Horizonte do Oeste;Total;Municipal;92,9;92,6;94,0;100,0;100,0;85,2;90,1;85,1;91,8;96,7;90,3;100,0
2017;Norte;RO;1100601;Cacaulândia;Total;Municipal;86,3;90,4;64,9;100,0;100,0;100,0;81,0;82,1;57,1;74,1;48,1;93,3
2017;Norte;RO;1100700;Campo Novo de Rondônia;Total;Municipal;87,4;88,8;81,8;99,5;98,9;77,8;82,2;92,3;80,0;75,9;83,3;92,3
2017;Norte;RO;1100809;Candeias do Jamari;Total;Municipal;82,8;83,8;78,3;96,3;95,3;72,0;76,1;83,9;78,8;75,3;85,7;80,8
2017;Norte;RO;1100908;Castanheiras;Total;Municipal;87,4;90,1;82,1;100,0;100,0;76,9;82,7;94,5;69,8;69,0;92,5;97,1
2017;Norte;RO;1100924;Chupinguaia;Total;Municipal;95,9;96,8;90,8;99,1;100,0;91,7;96,8;96,7;91,2;92,5;81,3;100,0
2017;Norte;RO;1100940;Cujubim;Total;Municipal;82,4;85,9;75,6;98,4;98,8;67,6;82,4;94,3;64,5;78,0;83,6;91,1
2017;Norte;RO;1101005;Governador Jorge Teixeira;Total;Municipal;88,1;87,5;89,9;99,3;100,0;74,0;82,2;89,2;89,5;90,9;88,7;90,7
2017;Norte;RO;1101104;Itapuã do Oeste;Total;Municipal;89,4;89,4;--;98,1;98,0;84,9;87,8;85,8;--;--;--;--
2017;Norte;RO;1101203;Ministro Andreazza;Total;Municipal;96,4;96,1;96,9;99,1;98,8;89,5;96,9;98,8;97,1;93,5;100,0;96,0
2017;Norte;RO;1101302;Mirante da Serra;Total;Municipal;92,1;91,9;93,1;93,4;100,0;81,9;92,4;94,5;81,8;100,0;94,6;100,0
2017;Norte;RO;1101401;Monte Negro;Total;Municipal;89,6;90,8;85,8;97,4;98,5;82,8;89,5;90,2;85,7;82,0;85,6;91,7
2017;Norte;RO;1101435;Nova União;Total;Municipal;93,6;94,7;90,8;99,0;100,0;87,8;95,4;93,8;72,7;95,5;93,0;98,8
