cod_uf;sigla_uf;cod_municipio;municipio;iegm_educ;mat;trm;quad_ird;pb;afd;raiz_tdi;log_ied;inv_had
11;RO;1100015;ALTA FLORESTA DO OESTE;53;18.9;96.6;6.3245553203;198.1;62.8;2.5099800796;1.887069649;0.25
11;RO;1100023;ARIQUEMES;41;25;90.8;9.6072888996;211.5;59.5;3.5213633723;1.5475625087;0.1960784314
11;RO;1100031;CABIXI;63;18.6;94;8.6602540378;226.985;89.8;2.8460498942;1.064710737;0.25
11;RO;1100049;CACOAL;68;22.7;97.3;7.8038452061;217.88;60.3;2.0248456731;1.2237754316;0.2380952381
11;RO;1100056;CEREJEIRAS;67;20.4;94.8;7.0710678119;224.52;69.9;2.8106938645;0.6931471806;0.2325581395
11;RO;1100080;COSTA MARQUES;42;22.2;84.4;7.7459666924;198.01;45.4;3.8858718455;0.8329091229;0.2325581395
11;RO;1100098;ESPIGÃO DO OESTE;41;22.8;95.9;10;208.185;71.1;2.9664793948;2.6672282066;0.2325581395
11;RO;1100106;GUAJARÁ-MIRIM;74;27.5;90.7;7.5564541949;197.915;62.5;3.6469165058;1.2809338455;0.25
11;RO;1100114;JARU;45;22.5;94.8;4.582575695;213.16;69.6;3.2403703492;2.4932054526;0.243902439
11;RO;1100122;JI-PARANÁ;76;25.5;97.3;8.9888820217;243.23;81.4;2.2135943621;1.8405496334;0.2272727273
11;RO;1100130;MACHADINHO DO OESTE;37;18.5;87.2;3.8729833462;199.32;60.7;4.4045431091;1.1939224685;0.243902439
11;RO;1100148;NOVA BRASILÂNDIA DO OESTE;55;20.5;99.5;9.1268833673;224.19;73.7;2.7386127875;2.6100697927;0.2325581395
11;RO;1100155;OURO PRETO DO OESTE;77;24.8;89.8;8.4498520697;226.215;85.6;3.5637059362;0.955511445;0.243902439
11;RO;1100189;PIMENTA BUENO;62;23.7;95;9.2574294488;227.115;59.6;3.0331501776;1.9169226122;0.25
11;RO;1100205;PORTO VELHO;47;22.6;91.4;8.7806605674;204.355;75.5;3.9749213829;1.8562979904;0.2380952381
11;RO;1100254;PRESIDENTE MÉDICI;39;17.7;92.2;8.1670067956;229.37;65.3;3.4205262753;2.0668627595;0.243902439
11;RO;1100262;RIO CRESPO;52;19.5;87.1;10;198.005;74.5;4.0987803064;1.3862943611;0.25
11;RO;1100288;ROLIM DE MOURA;42;21.1;94;8.8204308285;218.935;84.7;2.3237900077;1.7917594692;0.243902439
11;RO;1100296;SANTA LUZIA DO OESTE;58;19.8;97.2;5;241.085;76.6;2.9325756597;1.974081026;0.25
11;RO;1100304;VILHENA;56;24.7;92.6;7.2111025509;218.07;84.1;2.6076809621;0.2623642645;0.2325581395
11;RO;1100320;SÃO MIGUEL DO GUAPORÉ;55;20.2;98.4;4.8062459363;106.725;71.3;2.3021728866;1.2809338455;0.25
11;RO;1100338;NOVA MAMORÉ;62;22.3;88.3;5.3197744313;191.88;46.5;3.8858718455;2.0412203289;0.2380952381
11;RO;1100346;ALVORADA DO OESTE;60;16.3;95.4;7.0710678119;211.325;60.3;2.7202941017;0.8329091229;0.2380952381
11;RO;1100379;ALTO ALEGRE DOS PARECIS;52;20.9;91.9;3.5355339059;218.3;80.9;3.2403703492;1.8082887712;0.2380952381
11;RO;1100403;ALTO PARAÍSO;61;18.9;89.7;8.6602540378;204.55;34.3;3.4058772732;1.3862943611;0.2325581395
11;RO;1100452;BURITIS;76;23.5;93.9;5.224940191;210.36;65.7;2.983286778;1.6292405397;0.2380952381
11;RO;1100502;NOVO HORIZONTE DO OESTE;52;22.6;92.6;5.7706152185;215.425;69.5;3.0659419434;1.5475625087;0.243902439
11;RO;1100601;CACAULÂNDIA;50;19;90.4;8.6602540378;210.815;65.3;3.4641016151;1.7227665977;0.2325581395
11;RO;1100700;CAMPO NOVO DE RONDÔNIA;59;22.2;88.8;8.1670067956;206.705;64.4;4.4497190923;1.1314021115;0.2325581395
11;RO;1100809;CANDEIAS DO JAMARI;45;25;83.8;7.0710678119;189.26;60.3;5.1961524227;2.0668627595;0.2380952381
11;RO;1100908;CASTANHEIRAS;53;21.3;90.1;10;200.67;71.2;3.3015148038;2.5257286443;0.25
11;RO;1100940;CUJUBIM;56;24.4;85.9;7.0710678119;192.945;66;4.5716517803;2.1041341543;0.2325581395
11;RO;1101005;GOVERNADOR JORGE TEIXEIRA;45;20.1;87.5;6.123724357;207.425;50.5;3.6055512755;1.5686159179;0.243902439
11;RO;1101104;ITAPUÃ DO OESTE;59;25.2;89.4;9.2574294488;197.47;57.3;4.4271887242;1.3350010667;0.2380952381
11;RO;1101203;MINISTRO ANDREAZZA;57;17.3;96.1;10;228.08;55.7;2.8809720582;1.2237754316;0.2325581395
11;RO;1101302;MIRANTE DA SERRA;60;24.5;91.9;8.1670067956;213.93;63.6;3.3615472628;1.9459101491;0.2380952381
11;RO;1101401;MONTE NEGRO;70;20.1;90.8;4.0743097575;185.355;41.7;3.5916569992;2.1517622033;0.25
11;RO;1101435;NOVA UNIÃO;42;22.3;94.7;7.0710678119;202.945;73.5;3.5213633723;1.6486586256;0.2325581395
11;RO;1101450;PARECIS;53;13.9;87.9;10;208.775;82.3;3.577708764;1.3350010667;0.25
11;RO;1101484;SÃO FELIPE DO OESTE;39;19.6;96.3;7.0710678119;216.055;73.2;2.0976176963;1.974081026;0.2380952381
11;RO;1101492;SÃO FRANCISCO DO GUAPORÉ;60;23.7;93.6;5;209.57;75.8;3.1304951685;1.8718021769;0.2380952381
11;RO;1101500;SERINGUEIRAS;74;23.2;90.2;7.0710678119;207.295;79.6;3.098386677;2.5095992624;0.2325581395
11;RO;1101559;TEIXEIRÓPOLIS;55;20.7;90.8;8.6602540378;226.16;59.1;3.2249030993;2.6246685922;0.2380952381
11;RO;1101609;THEOBROMA;75;15.9;96.8;6.123724357;203.965;81;3.0822070015;2.5572273114;0.2380952381
11;RO;1101708;URUPÁ;41;20.5;94.3;6.123724357;221.85;67.8;3.6331804249;1.9021075264;0.2380952381
11;RO;1101757;VALE DO ANARI;56;15.8;91.1;0;216.405;64.9;4.2426406871;2.3702437415;0.2325581395
11;RO;1101807;VALE DO PARAÍSO;60;21.4;91.9;7.7459666924;202.43;58.9;3.8987177379;2.8564702062;0.2325581395
12;AC;1200013;ACRELÂNDIA;50;24.1;91.1;6.123724357;213.8;53.8;4.2778499272;0.6418538862;0.243902439
12;AC;1200104;BRASILÉIA;44;23.3;93.2;3.1622776602;222.59;32.7;4.7749345545;1.0296194172;0.2380952381
