Ano;regiao;UF;cod_municipio;nome_municipio;localizacao;ddependencia_administrativa;baixa_regularidade;media_baixa_regularidade;media_alta_regularidade;alta_regularidade
2017;Norte;RO;1100015;Alta Floresta D'Oeste;Total;Municipal;13,3;46,7;40,0;0,0
2017;Norte;RO;1100023;Ariquemes;Total;Municipal;0,0;7,7;69,2;23,1
2017;Norte;RO;1100031;Cabixi;Total;Municipal;0,0;25,0;75,0;0,0
2017;Norte;RO;1100049;Cacoal;Total;Municipal;4,3;34,8;60,9;0,0
2017;Norte;RO;1100056;Cerejeiras;Total;Municipal;12,5;37,5;50,0;0,0
2017;Norte;RO;1100064;Colorado do Oeste;Total;Municipal;0,0;0,0;54,5;45,5
2017;Norte;RO;1100072;Corumbiara;Total;Municipal;0,0;50,0;50,0;0,0
2017;Norte;RO;1100080;Costa Marques;Total;Municipal;0,0;40,0;60,0;0,0
2017;Norte;RO;1100098;Espigão D'Oeste;Total;Municipal;0,0;0,0;90,0;10,0
2017;Norte;RO;1100106;Guajará-Mirim;Total;Municipal;4,8;38,1;42,9;14,2
2017;Norte;RO;1100114;Jaru;Total;Municipal;5,3;73,7;21,0;0,0
2017;Norte;RO;1100122;Ji-Paraná;Total;Municipal;3,8;15,4;69,2;11,6
2017;Norte;RO;1100130;Machadinho D'Oeste;Total;Municipal;15,0;70,0;0,0;15,0
2017;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Municipal;0,0;16,7;83,3;0,0
2017;Norte;RO;1100155;Ouro Preto do Oeste;Total;Municipal;0,0;28,6;64,3;7,1
2017;Norte;RO;1100189;Pimenta Bueno;Total;Municipal;0,0;14,3;50,0;35,7
2017;Norte;RO;1100205;Porto Velho;Total;Municipal;1,5;21,4;55,0;22,1
2017;Norte;RO;1100254;Presidente Médici;Total;Municipal;11,1;22,2;66,7;0,0
2017;Norte;RO;1100262;Rio Crespo;Total;Municipal;0,0;0,0;100,0;0,0
2017;Norte;RO;1100288;Rolim de Moura;Total;Municipal;0,0;22,2;55,6;22,2
2017;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Municipal;0,0;75,0;25,0;0,0
2017;Norte;RO;1100304;Vilhena;Total;Municipal;4,0;44,0;52,0;0,0
2017;Norte;RO;1100320;São Miguel do Guaporé;Total;Municipal;7,7;69,2;15,4;7,7
2017;Norte;RO;1100338;Nova Mamoré;Total;Municipal;39,6;32,1;15,1;13,2
2017;Norte;RO;1100346;Alvorada D'Oeste;Total;Municipal;0,0;50,0;40,0;10,0
2017;Norte;RO;1100379;Alto Alegre dos Parecis;Total;Municipal;0,0;87,5;12,5;0,0
2017;Norte;RO;1100403;Alto Paraíso;Total;Municipal;8,3;16,7;58,3;16,7
2017;Norte;RO;1100452;Buritis;Total;Municipal;22,7;50,0;9,1;18,2
2017;Norte;RO;1100502;Novo Horizonte do Oeste;Total;Municipal;0,0;66,7;33,3;0,0
2017;Norte;RO;1100601;Cacaulândia;Total;Municipal;0,0;25,0;75,0;0,0
2017;Norte;RO;1100700;Campo Novo de Rondônia;Total;Municipal;0,0;33,3;66,7;0,0
2017;Norte;RO;1100809;Candeias do Jamari;Total;Municipal;16,7;33,3;50,0;0,0
2017;Norte;RO;1100908;Castanheiras;Total;Municipal;0,0;0,0;100,0;0,0
2017;Norte;RO;1100924;Chupinguaia;Total;Municipal;9,1;45,5;27,3;18,1
2017;Norte;RO;1100940;Cujubim;Total;Municipal;0,0;50,0;50,0;0,0
2017;Norte;RO;1101005;Governador Jorge Teixeira;Total;Municipal;0,0;62,5;37,5;0,0
2017;Norte;RO;1101104;Itapuã do Oeste;Total;Municipal;0,0;14,3;42,9;42,8
2017;Norte;RO;1101203;Ministro Andreazza;Total;Municipal;0,0;0,0;100,0;0,0
2017;Norte;RO;1101302;Mirante da Serra;Total;Municipal;0,0;33,3;50,0;16,7
2017;Norte;RO;1101401;Monte Negro;Total;Municipal;16,7;66,7;16,6;0,0
